Date,Central Scotland,East Midlands,Eastern,Greater London,Highland,North East,North East Scotland,North Wales,North West & Merseyside,Northern Ireland,Scottish Borders,South East,South Wales,South West,West Midlands,Yorkshire & Humberside
01/01/2019,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3
02/01/2019,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3
03/01/2019,3,3,3,2,3,3,2,3,3,2,3,3,3,3,4,3
04/01/2019,3,5,3,3,3,2,2,3,4,3,2,3,4,3,4,3
05/01/2019,3,3,2,3,3,2,2,3,2,2,2,3,3,3,3,3
06/01/2019,3,2,2,2,3,2,2,3,3,2,2,2,3,3,2,3
07/01/2019,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3
08/01/2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
09/01/2019,3,3,3,2,3,3,3,3,2,3,2,2,4,3,3,3
10/01/2019,2,3,3,3,3,2,2,3,4,3,2,3,3,3,2,2
11/01/2019,3,3,2,2,3,2,3,3,2,3,3,3,4,2,3,3
12/01/2019,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3
13/01/2019,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
14/01/2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15/01/2019,3,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3
16/01/2019,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3
17/01/2019,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3
18/01/2019,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3
19/01/2019,3,2,2,2,3,3,2,2,2,3,2,2,3,3,2,2
20/01/2019,2,3,4,3,3,3,2,2,3,3,2,3,3,3,3,3
21/01/2019,3,3,4,4,3,2,2,3,2,3,3,3,3,3,3,2
22/01/2019,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
23/01/2019,3,4,3,2,3,2,3,3,2,3,2,3,3,4,4,3
24/01/2019,4,3,3,3,3,3,3,3,4,3,2,3,3,5,3,3
25/01/2019,3,2,2,3,3,3,2,3,2,3,3,2,3,3,2,3
